frame_id;left_hand;right_hand
0;book;None
1;book;None
2;book;None
3;book;None
4;book;None
5;book;None
6;book;None
7;book;None
8;book;None
9;book;None
10;book;None
11;book;None
12;book;None
13;book;None
14;book;None
15;book;None
16;book;None
17;book;None
18;None;None
19;None;None
20;None;None
21;None;None
22;None;None
23;None;None
24;None;None
25;None;None
26;None;None
27;None;None
28;None;None
29;None;None
30;None;None
31;None;None
32;None;None
33;None;None
34;None;cup
35;None;cup
36;None;cup
37;None;cup
38;None;cup
39;None;cup
40;None;cup
41;None;cup
42;None;cup
43;None;cup
44;None;cup
45;None;cup
46;None;cup
47;None;cup
48;None;cup
49;None;cup
50;None;cup
51;None;cup
52;None;cup
53;None;cup
54;None;cup
55;None;cup
56;None;cup
57;None;cup
58;None;cup
59;None;cup
60;None;cup
61;None;cup
62;None;cup
63;None;cup
64;None;cup
65;None;cup
66;None;cup
67;None;cup
68;None;cup
69;None;cup
70;None;cup
71;None;cup
72;None;cup
73;None;cup
74;None;cup
75;None;cup
76;None;cup
77;None;cup
78;None;cup
79;None;cup
80;None;cup
81;None;cup
82;None;cup
83;None;cup
84;None;cup
85;None;cup
86;None;cup
87;None;cup
88;None;cup
89;None;cup
90;None;cup
91;None;cup
92;None;cup
93;None;cup
94;None;cup
95;None;cup
96;None;cup
97;None;cup
98;None;cup
99;None;None
100;None;None
101;None;None
102;None;None
103;None;None
104;None;None
105;None;None
106;None;None
107;None;None
108;None;None
109;None;None
110;None;None
111;None;None
112;None;None
113;None;None
114;None;None
115;None;None
116;None;None
117;None;None
118;None;None
119;None;None
120;None;None
121;None;None
122;None;None
123;None;None
124;None;None
125;None;None
126;None;None
127;None;None
128;None;None
129;None;None
130;None;None
131;None;None
132;None;None
133;None;None
134;None;None
135;None;None
136;None;None
137;None;None
138;None;None
139;None;None
140;None;None
141;None;None
142;None;None
143;None;None
144;None;None
145;None;None
146;None;None
147;None;None
148;None;None
149;None;None
150;None;None
