frame_id;left_hand;right_hand
0;None;None
1;None;None
2;None;None
3;None;cup
4;None;cup
5;None;cup
6;None;cup
7;None;cup
8;None;cup
9;None;cup
10;None;cup
11;None;cup
12;None;cup
13;None;cup
14;None;cup
15;None;cup
16;None;cup
17;None;cup
18;None;cup
19;None;cup
20;None;cup
21;None;cup
22;None;cup
23;None;cup
24;None;cup
25;None;cup
26;None;cup
27;None;cup
28;None;cup
29;None;cup
30;None;cup
31;None;cup
32;None;cup
33;None;cup
34;None;cup
35;None;cup
36;None;cup
37;None;cup
38;None;cup
39;None;None
40;None;None
41;None;None
42;None;None
43;None;None
44;None;None
45;None;None
